No_Siri;No_Pendaftaran_SSM;Nama_Pendaftaran;Nama_Perniagaan;Negeri;Kod_Industri;BBU__SBU;Pegawai;Penyelia;Pegawai_Kerja_Luar;Siri_Kekerapan;Tahun_Rujukan;Status_Respon;Status_Rekod;Cara_Terima;Tarikh_Terima;Bilangan_Pekerja;Gaji_dan_Upah_RM;Nilai_Jualan_RM;Jumlah_pendapatan;Jumlah_Perbelanjaan_RM;Jumlah_Harta__AsetRM;Stok_Akhir_RM;Catatan
A011;SSM011;SYARIKAT A011;;JOHOR;45201;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;08/08/2019;5;125042;;969236;846614;22575;7559;
A012;SSM012;SYARIKAT A012;;JOHOR;45201;SBU;Boss;Ketua;Amoi;;2018;31-Tidak menjalankan perusahaan;Selesai;Kerja Luar;29/05/2019;;;;;;;;
A013;SSM013;SYARIKAT A013;;JOHOR;45300;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A014;SSM014;SYARIKAT A014;;JOHOR;45205;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Dalam Proses;;;;;;;;;;
A015;SSM015;SYARIKAT A015;;JOHOR;45201;SBU;Boss;Ketua;Amoi;;2018;31-Tidak menjalankan perusahaan;Selesai;Kerja Luar;08/05/2019;;;;;;;;
A016;SSM016;SYARIKAT A016;;JOHOR;45300;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A017;SSM017;SYARIKAT A017;;JOHOR;45201;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;01/08/2019;5;109029;;1056240;947399;139912;89104;
A018;SSM018;SYARIKAT A018;;JOHOR;45201;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;05/08/2019;5;116754;;549067;431068;39477;23445;
A019;SSM019;SYARIKAT A019;;JOHOR;45300;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Dalam Proses;;;;;;;;;;
A020;SSM020;SYARIKAT A020;;JOHOR;45201;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;03/07/2019;3;34357;;574812;237079;56665;17114;
A021;SSM021;SYARIKAT A021;;JOHOR;45201;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Dalam Proses;;;3;30480;;580323;0;1;0;
A022;SSM022;SYARIKAT A022;;JOHOR;45201;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A023;SSM023;SYARIKAT A023;;JOHOR;45101;BBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A024;SSM024;SYARIKAT A024;;JOHOR;45205;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A025;SSM025;SYARIKAT A025;;JOHOR;45102;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;08/08/2019;6;126057;;769184;769002;32206;131281;
A026;SSM026;SYARIKAT A026;;JOHOR;45102;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A027;SSM027;SYARIKAT A027;;JOHOR;45201;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A028;SSM028;SYARIKAT A028;;JOHOR;45201;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A029;SSM029;SYARIKAT A029;;JOHOR;45102;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A030;SSM030;SYARIKAT A030;;JOHOR;45201;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A031;SSM031;SYARIKAT A031;;JOHOR;45201;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Dalam Proses;;;5;28882;;583090;0;1;0;
A032;SSM032;SYARIKAT A032;;JOHOR;45101;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A033;SSM033;SYARIKAT A033;;JOHOR;45102;BBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A034;SSM034;SYARIKAT A034;;JOHOR;45101;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A035;SSM035;SYARIKAT A035;;JOHOR;45300;BBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A036;SSM036;SYARIKAT A036;;JOHOR;45201;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Dalam Proses;;;5;71645;;549381;0;1;0;
A037;SSM037;SYARIKAT A037;;JOHOR;45201;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A038;SSM038;SYARIKAT A038;;JOHOR;45403;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;20/06/2019;2;59417;;339035;371686;62503;4186;
A039;SSM039;SYARIKAT A039;;JOHOR;45403;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;03/07/2019;4;60000;;419909;374891;1823;41656;
A040;SSM040;SYARIKAT A040;;JOHOR;45201;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A041;SSM041;SYARIKAT A041;;JOHOR;45300;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Dalam Proses;Kerja Luar;22/07/2019;6;127859;;843032;0;0;;
A042;SSM042;SYARIKAT A042;;JOHOR;45403;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;01/07/2019;2;21600;;1239421;952806;40600;13752;
A043;SSM043;SYARIKAT A043;;JOHOR;45300;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A044;SSM044;SYARIKAT A044;;JOHOR;45201;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;08/08/2019;4;54648;;331627;279660;8777;8291;
A045;SSM045;SYARIKAT A045;;JOHOR;45401;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Dalam Proses;;;3;29261;;927050;0;1;;
A046;SSM046;SYARIKAT A046;;JOHOR;45300;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;21/07/2019;4;73919;;637679;539910;29988;21936;
A047;SSM047;SYARIKAT A047;;JOHOR;45401;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A048;SSM048;SYARIKAT A048;;JOHOR;45403;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;21/05/2019;4;65123;;549965;353264;40975;30407;
A049;SSM049;SYARIKAT A049;;JOHOR;45203;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;20/06/2019;3;42239;;156165;102814;38572;7560;
A050;SSM050;SYARIKAT A050;;JOHOR;45102;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A051;SSM051;SYARIKAT A051;;JOHOR;45201;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Dalam Proses;;;1;0;;86439;73586;1;;
A052;SSM052;SYARIKAT A052;;JOHOR;45201;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Dalam Proses;;;2;19020;;603011;0;1;0;
A053;SSM053;SYARIKAT A053;;JOHOR;45300;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A054;SSM054;SYARIKAT A054;;JOHOR;45102;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A055;SSM055;SYARIKAT A055;;JOHOR;45201;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;20/05/2019;9;211376;;2443435;2407504;49268;102952;
A056;SSM056;SYARIKAT A056;;JOHOR;45300;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A057;SSM057;SYARIKAT A057;;JOHOR;45201;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A058;SSM058;SYARIKAT A058;;JOHOR;45101;BBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;31/07/2019;11;167887;;2618528;2538323;1228932;624953;
A059;SSM059;SYARIKAT A059;;JOHOR;45201;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Dalam Proses;;;1;0;;77244;65750;1;;
A060;SSM060;SYARIKAT A060;;JOHOR;45201;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A061;SSM061;SYARIKAT A061;;JOHOR;46326;SBU;Boss;Ketua;Amoi;;2018;31-Tidak menjalankan perusahaan;Selesai;Kerja Luar;26/06/2019;;;;;;;;
A062;SSM062;SYARIKAT A062;;JOHOR;46441;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;14/08/2019;3;41996;;429503;380844;66276;32051;
A063;SSM063;SYARIKAT A063;;JOHOR;46326;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;Kerja Luar;01/07/2019;;;;;;;;
A064;SSM064;SYARIKAT A064;;JOHOR;46314;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Dalam Proses;;;4;129816;;976702;0;1;;
A065;SSM065;SYARIKAT A065;;JOHOR;46499;SBU;Boss;Ketua;Amoi;;2018;22-Tidak terdapat pertubuhan di alamat yang diberi;Selesai;Kerja Luar;28/05/2019;;;;;;;;
A066;SSM066;SYARIKAT A066;;JOHOR;46201;BBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;21/05/2019;10;183567;;22200755;22186999;5827;1105674;
A067;SSM067;SYARIKAT A067;;JOHOR;47212;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;29/05/2019;4;39600;;286900;180928;3451;4064;
A068;SSM068;SYARIKAT A068;;JOHOR;46201;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A069;SSM069;SYARIKAT A069;;JOHOR;46209;BBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;Kerja Luar;01/07/2019;;;;;;;;
A070;SSM070;SYARIKAT A070;;JOHOR;46696;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A071;SSM071;SYARIKAT A071;;JOHOR;46202;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A072;SSM072;SYARIKAT A072;;JOHOR;46314;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A073;SSM073;SYARIKAT A073;;JOHOR;46521;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A074;SSM074;SYARIKAT A074;;JOHOR;46592;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A075;SSM075;SYARIKAT A075;;JOHOR;46611;BBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A076;SSM076;SYARIKAT A076;;JOHOR;46209;BBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A077;SSM077;SYARIKAT A077;;JOHOR;46493;SBU;Boss;Ketua;Amoi;;2018;40-Telah tutup;Selesai;Kerja Luar;02/06/2019;;;;;;;;
A078;SSM078;SYARIKAT A078;;JOHOR;46591;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A079;SSM079;SYARIKAT A079;;JOHOR;46901;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Dalam Proses;;;1;0;;73580;61600;1;;
A080;SSM080;SYARIKAT A080;;JOHOR;46497;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A081;SSM081;SYARIKAT A081;;JOHOR;46497;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;11/07/2019;12;422024;;4416212;4249764;387905;1331965;
A082;SSM082;SYARIKAT A082;;JOHOR;47734;SBU;Boss;Ketua;Amoi;;2018;76-Dalam proses lengkap;Dalam Proses;;;;;;;;;;
A083;SSM083;SYARIKAT A083;;JOHOR;46321;BBU;Boss;Ketua;Amoi;;2018;40-Telah tutup;Selesai;Kerja Luar;14/03/2019;;;;;;;;
A084;SSM084;SYARIKAT A084;;JOHOR;46692;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A085;SSM085;SYARIKAT A085;;JOHOR;46442;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A086;SSM086;SYARIKAT A086;;JOHOR;46442;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A087;SSM087;SYARIKAT A087;;JOHOR;47194;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;02/07/2019;2;55248;;254293;210162;61110;42766;
A088;SSM088;SYARIKAT A088;;JOHOR;47413;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Dalam Proses;;;2;0;;301107;256300;1;;
A089;SSM089;SYARIKAT A089;;JOHOR;47711;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Dalam Proses;;;2;0;;202946;172746;1;;
A090;SSM090;SYARIKAT A090;;JOHOR;47612;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A091;SSM091;SYARIKAT A091;;JOHOR;47711;BBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A092;SSM092;SYARIKAT A092;;JOHOR;47111;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;18/06/2019;3;198068;;3376868;2261578;25059;40672;
A093;SSM093;SYARIKAT A093;;JOHOR;47711;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;21/05/2019;1;0;;61555;60057;240;14515;
A094;SSM094;SYARIKAT A094;;JOHOR;47733;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Dalam Proses;Kerja Luar;03/07/2019;3;23165;;982431;0;1;;
A095;SSM095;SYARIKAT A095;;JOHOR;47411;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;1;0;;638110;;;;
A096;SSM096;SYARIKAT A096;;JOHOR;47711;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;14/08/2019;3;72098;;594323;512616;81426;83604;
A097;SSM097;SYARIKAT A097;;JOHOR;47722;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;Kerja Luar;03/07/2019;;;;;;;;
A098;SSM098;SYARIKAT A098;;JOHOR;47111;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;21/07/2019;2;0;;175847;150334;4525;17352;
A099;SSM099;SYARIKAT A099;;JOHOR;47111;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;10/06/2019;2;0;;130249;90176;2005;4603;
A100;SSM100;SYARIKAT A100;;JOHOR;47741;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A101;SSM101;SYARIKAT A101;;JOHOR;47620;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Dalam Proses;;;5;48768;;609854;0;1;0;
A102;SSM102;SYARIKAT A102;;JOHOR;47520;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A103;SSM103;SYARIKAT A103;;JOHOR;47420;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A104;SSM104;SYARIKAT A104;;JOHOR;47212;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;20/08/2019;5;34000;;298375;167234;10854;8627;
A105;SSM105;SYARIKAT A105;;JOHOR;47810;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;28/05/2019;3;44319;;269542;187417;22666;6989;
A106;SSM106;SYARIKAT A106;;JOHOR;47191;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A107;SSM107;SYARIKAT A107;;JOHOR;47810;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;13/05/2019;2;19559;;187903;143740;56525;10635;
A108;SSM108;SYARIKAT A108;;JOHOR;47733;SBU;Boss;Ketua;Amoi;;2018;22-Tidak terdapat pertubuhan di alamat yang diberi;Selesai;Kerja Luar;03/07/2019;;;;;;;;
A109;SSM109;SYARIKAT A109;;JOHOR;47620;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A110;SSM110;SYARIKAT A110;;JOHOR;47214;SBU;Boss;Ketua;Amoi;;2018;22-Tidak terdapat pertubuhan di alamat yang diberi;Selesai;Kerja Luar;14/05/2019;;;;;;;;
A111;SSM111;SYARIKAT A111;;JOHOR;47212;SBU;Boss;Ketua;Amoi;;2018;31-Tidak menjalankan perusahaan;Selesai;Kerja Luar;13/03/2019;;;;;;;;
A112;SSM112;SYARIKAT A112;;JOHOR;47212;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;17/06/2019;5;47562;;618371;19578;19578;13106;
A113;SSM113;SYARIKAT A113;;JOHOR;47510;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Dalam Proses;;;9;87782;;768539;0;0;0;
A114;SSM114;SYARIKAT A114;;JOHOR;47711;SBU;Boss;Ketua;Amoi;;2018;22-Tidak terdapat pertubuhan di alamat yang diberi;Selesai;Kerja Luar;03/07/2019;;;;;;;;
A115;SSM115;SYARIKAT A115;;JOHOR;47214;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;01/07/2019;3;24000;;489360;369596;7418;6377;
A116;SSM116;SYARIKAT A116;;JOHOR;47212;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;06/08/2019;6;174000;;2864036;2737274;11906;18672;
A117;SSM117;SYARIKAT A117;;JOHOR;47212;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;13/05/2019;3;12976;;180583;128707;11174;4681;
A118;SSM118;SYARIKAT A118;;JOHOR;47611;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;4;56449;;755134;;;;
A119;SSM119;SYARIKAT A119;;JOHOR;47742;SBU;Boss;Ketua;Amoi;;2018;22-Tidak terdapat pertubuhan di alamat yang diberi;Dalam Proses;;;;;;;;;;
A120;SSM120;SYARIKAT A120;;JOHOR;47631;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A121;SSM121;SYARIKAT A121;;JOHOR;47214;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;13/05/2019;1;18000;;56640;31333;4685;1397;
A122;SSM122;SYARIKAT A122;;JOHOR;47711;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;1;;;576773;;;;
A123;SSM123;SYARIKAT A123;;JOHOR;47612;SBU;Boss;Ketua;Amoi;;2018;71-Berjanji untuk menghantar laporan dalam tempoh hari/minggu;Dalam Proses;;;;;;;;;;
A124;SSM124;SYARIKAT A124;;JOHOR;47520;SBU;Boss;Ketua;Amoi;;2018;40-Telah tutup;Selesai;Kerja Luar;29/05/2019;;;;;;;;
A125;SSM125;SYARIKAT A125;;JOHOR;47111;SBU;Boss;Ketua;Amoi;;2018;11-Borang Lengkap (kerja luar/pos/e-mel/faks/e-survey);Selesai;Kerja Luar;11/07/2019;1;0;;76110;65730;1000;11611;
